date,cumulative_Evaporation,average_soilTemperatureLevel,cumulative_Sub-surfaceRunoff,average_TemperatureOfSnowLayer,average_SnowDepth,average_VolumetricSoilWaterLayer,cumulative_precipitation,OT
2017/5/30,-0.0206326709594577,289.7869279649522,0.0037871599197387,273.132815890842,0.0,0.3265998860458947,0.0010228157043457,-24.318268777338822
2017/6/5,-0.0207484723068773,291.20196024576825,0.0036321878433227,273.090092976888,0.0,0.3149154113295177,0.0284905433654785,-11.053010388927651
2017/6/11,-0.0225164105650037,289.3711802164714,0.0035098791122436,273.1113705105252,0.0,0.3739706347955183,0.0285425186157226,1.1405671845918164
2017/6/17,-0.02162750903517,292.73770819769965,0.0033557415008544,273.11580064561633,0.0,0.3437516412749473,0.0205678939819335,6.642442075909891
2017/6/23,-0.0234177252277731,293.16478474934894,0.0031952857971191,273.0701955159505,0.0,0.3158565748793383,0.0034980773925781,2.365746808988238
2017/6/29,-0.0203029823023825,292.6815422905816,0.0031030178070068,273.03856404622394,0.0,0.3759940663197388,0.1037731170654296,6.757551913668422
2017/7/5,-0.0224904136266559,290.6290724012587,0.0029089450836181,273.1220347086589,0.0,0.3739629919485499,0.0116877555847167,7.493569267971207
2017/7/11,-0.0255281846038997,294.20527988009985,0.0027785301208496,273.0057491726345,0.0,0.34758799466201,0.036752700805664,1.1068536831235851
2017/7/17,-0.023099917685613,291.91168891059027,0.0026407241821289,273.0845133463542,0.0,0.3690783777274191,0.0186371803283691,1.671669428810418
2017/7/23,-0.0241775608155876,293.2721540662978,0.002497911453247,273.0694325764974,0.0,0.3207124680953307,0.0078744888305664,0.4997508096666188
2017/7/29,-0.021682565100491,291.2042015923394,0.0023939609527587,273.0811326768663,0.0,0.36857656076447,0.0367846488952636,-2.3665303277179035
2017/8/4,-0.0249945390969514,295.54447767469617,0.0022628307342529,272.96257358127167,0.0,0.3107921630144118,0.0009503364562988,-0.2445148822484597
2017/8/10,-0.0216579132247716,293.94489034016925,0.0021367073059082,273.074459499783,0.0,0.342524049932965,0.0855135917663574,-0.6079589446450768
2017/8/16,-0.021369774127379,291.3707224527995,0.0020564794540405,273.1152750651042,0.0,0.3830423906652464,0.0329504013061523,5.720583094916147
2017/8/22,-0.0199085853528231,291.6785464816623,0.0019807815551757,273.0421362982856,0.0,0.3525630452721897,0.0182538032531738,6.777973914425605
2017/8/28,-0.0186470632907003,292.5032145182292,0.0018832683563232,273.02349683973523,0.0,0.3196916640994863,0.0089468955993652,12.10333776487262
2017/9/3,-0.0178758285474032,290.9938659667968,0.0018203258514404,273.06457349989154,0.0,0.3631925309180386,0.0637240409851074,16.709382237505324
2017/9/9,-0.0140007524751126,289.4203186035156,0.0017635226249694,273.14718458387586,0.0,0.3850640634385248,0.0326590538024902,17.13048026494683
2017/9/15,-0.0091914411168545,287.307366265191,0.0046720504760742,273.0774390962389,0.0,0.4094308623267959,0.1076927185058593,13.361313574784646
2017/9/21,-0.0127505008131265,285.03712802463104,0.0028134584426879,273.1028696695963,0.0,0.3962283670488331,0.0230545997619628,5.230536375664464
2017/9/27,-0.0111096547916531,285.5412885877821,0.0033094882965087,273.14372083875867,0.0,0.3822339387455334,0.0183477401733398,2.878472191785548
2017/10/3,-0.0081930875312536,285.9351620144314,0.0035821199417114,273.1434071858724,0.0,0.3630886655559557,0.005929946899414,-2.1552770476783785
2017/10/9,-0.0097390750888735,284.3598192003038,0.0037484765052795,273.11182159847687,0.0,0.355037595378235,0.0042195320129394,-6.986605260844659
2017/10/15,-0.0082814383786171,284.77238972981775,0.003783643245697,273.0186530219184,0.0,0.3305457601996345,0.000185489654541,-12.352675798626557
2017/10/21,-0.0072116879746317,283.21848551432294,0.0037486553192138,272.9199574788411,0.0,0.3159302114250345,2.86102294921875e-05,-15.020518046766032
2017/10/27,-0.0065488123800605,281.7632361518012,0.0036909580230712,273.087159898546,0.0,0.3326446642167865,0.0066800117492675,-17.773196610559367
2017/11/2,-0.0050330080557614,279.93292236328125,0.0036249756813049,273.0790502760145,0.0,0.3059173837456101,9.632110595703124e-05,-17.726133308172415
2017/11/8,-0.0045476793311536,280.26164584689667,0.0035593509674072,273.0911116070218,0.0013535883691575,0.3705106873369206,0.0951833724975586,-21.34762090171452
2017/11/14,-0.0042096665129065,277.9417690700955,0.0039137005805969,271.7373791800605,0.0025434295336405,0.3988202671429867,0.0177373886108398,-10.997339289242127
2017/11/20,-0.0031784940510988,276.31792534722223,0.0044962167739868,270.2162628173828,0.0018274452951219,0.3827415430763115,0.0,-1.9268846218149207
2017/11/26,-0.0022881645709276,276.7658199734158,0.0049930214881896,273.0277985466851,8.33802753024631e-06,0.3705840261083923,0.0121650695800781,-6.218904974876331
2017/12/2,-0.0025749844498932,274.4701928032769,0.0052473545074462,270.04353480868866,0.0018115838368733,0.3675568582386606,0.0041871070861816,-1.424112504192628
